IntensityIn IntensityOut Luminance
0.000000000000000000e+00 0.000000000000000000e+00 3.543333333333333335e-01
1.525902189669642176e-05 3.921568627450980338e-03 4.099999999999999756e-01
2.441443503471427481e-04 7.843137254901960675e-03 4.843333333333332824e-01
5.645838101777675509e-04 1.176470588235294101e-02 5.716666666666666563e-01
9.308003356984816731e-04 1.568627450980392135e-02 6.433333333333334236e-01
1.251239795529106476e-03 1.960784313725490169e-02 7.496666666666667034e-01
1.693751430533302869e-03 2.352941176470588203e-02 8.506666666666666821e-01
2.136263065537499263e-03 2.745098039215686236e-02 9.543333333333333668e-01
2.578774700541695223e-03 3.137254901960784270e-02 1.054999999999999938e+00
3.006027313649195249e-03 3.529411764705882304e-02 1.226333333333333497e+00
3.738460364690623493e-03 3.921568627450980338e-02 1.373666666666666591e+00
4.364080262455176731e-03 4.313725490196078372e-02 1.525333333333333430e+00
5.020218204013123138e-03 4.705882352941176405e-02 1.693666666666666432e+00
5.737392233157855015e-03 5.098039215686274439e-02 1.932666666666666755e+00
6.759746700236515110e-03 5.490196078431372473e-02 2.140666666666666273e+00
7.660028992141603398e-03 5.882352941176470507e-02 2.329666666666666774e+00
8.468757152666513480e-03 6.274509803921568540e-02 2.558666666666666867e+00
9.445334554055084472e-03 6.666666666666666574e-02 2.841000000000000636e+00
1.065079728389410271e-02 7.058823529411764608e-02 3.115333333333333510e+00
1.182574196993972648e-02 7.450980392156862642e-02 3.340999999999999748e+00
1.278706034943160111e-02 7.843137254901960675e-02 3.608333333333332948e+00
1.393148699168383388e-02 8.235294117647058709e-02 3.877333333333333076e+00
1.509117265583276128e-02 8.627450980392156743e-02 4.267333333333334089e+00
1.675440604257267055e-02 9.019607843137254777e-02 4.566666666666666430e+00
1.803616388189516889e-02 9.411764705882352811e-02 4.863666666666667027e+00
1.930266269932097434e-02 9.803921568627450844e-02 5.250000000000000000e+00
2.096589608606088187e-02 1.019607843137254888e-01 5.618999999999999773e+00
2.253757534142061467e-02 1.058823529411764691e-01 5.979333333333332945e+00
2.407873655298695473e-02 1.098039215686274495e-01 6.486999999999999211e+00
2.626077668421454223e-02 1.137254901960784298e-01 6.731333333333334501e+00
2.729839017318989869e-02 1.176470588235294101e-01 7.234999999999999432e+00
2.946517128252078982e-02 1.215686274509803905e-01 7.596666666666666679e+00
3.100633249408712988e-02 1.254901960784313708e-01 7.963666666666665783e+00
3.257801174944686268e-02 1.294117647058823373e-01 8.451333333333332476e+00
3.466849774929427197e-02 1.333333333333333315e-01 8.828999999999998849e+00
3.628595407034409387e-02 1.372549019607843257e-01 9.257333333333333414e+00
3.811703669794766491e-02 1.411764705882352922e-01 9.744999999999999218e+00
4.020752269779507421e-02 1.450980392156862586e-01 1.020000000000000107e+01
4.214541847867551982e-02 1.490196078431372528e-01 1.076333333333333364e+01
4.457160296025024920e-02 1.529411764705882470e-01 1.140333333333333421e+01
4.730296787975890593e-02 1.568627450980392135e-01 1.180333333333333279e+01
4.901197833218890604e-02 1.607843137254901800e-01 1.227000000000000135e+01
5.101091020065613713e-02 1.647058823529411742e-01 1.292333333333333201e+01
5.380331120775158626e-02 1.686274509803921684e-01 1.340000000000000036e+01
5.584802014190890646e-02 1.725490196078431349e-01 1.394999999999999751e+01
5.819790951400015400e-02 1.764705882352941013e-01 1.455666666666666664e+01
6.080720225833523979e-02 1.803921568627450955e-01 1.513333333333333464e+01
6.326390478370336190e-02 1.843137254901960898e-01 1.575333333333333563e+01
6.591897459372854373e-02 1.882352941176470562e-01 1.651999999999999957e+01
6.919966430151827663e-02 1.921568627450980227e-01 1.713666666666666671e+01
7.183947508964674822e-02 1.960784313725490169e-01 1.757000000000000384e+01
7.370107576104371894e-02 2.000000000000000111e-01 1.843000000000000327e+01
7.737850003814755739e-02 2.039215686274509776e-01 1.907666666666666799e+01
8.015564202334631017e-02 2.078431372549019440e-01 1.963666666666666671e+01
8.255130846112763987e-02 2.117647058823529382e-01 2.022333333333333272e+01
8.505378805218585803e-02 2.156862745098039325e-01 2.108666666666666600e+01
8.876173037308308922e-02 2.196078431372548989e-01 2.193666666666666742e+01
9.239337758449683857e-02 2.235294117647058654e-01 2.236333333333333329e+01
9.422446021210040268e-02 2.274509803921568596e-01 2.319999999999999929e+01
9.779507133592736656e-02 2.313725490196078538e-01 2.382000000000000384e+01
1.004501411459525484e-01 2.352941176470588203e-01 2.460666666666666558e+01
1.038223849851224595e-01 2.392156862745097867e-01 2.551999999999999957e+01
1.077286945906767435e-01 2.431372549019607809e-01 2.656333333333333258e+01
1.121995880064087930e-01 2.470588235294117752e-01 2.729666666666666686e+01
1.153429465171282586e-01 2.509803921568627416e-01 2.821666666666666856e+01
1.192797741664759353e-01 2.549019607843137081e-01 2.890333333333333599e+01
1.222095063706416379e-01 2.588235294117646745e-01 2.988666666666666671e+01
1.264209964141298492e-01 2.627450980392156965e-01 3.037999999999999901e+01
1.285420004577706443e-01 2.666666666666666630e-01 3.127333333333333698e+01
1.323567559319447640e-01 2.705882352941176294e-01 3.194333333333333158e+01
1.352254520485236811e-01 2.745098039215686514e-01 3.286666666666666714e+01
1.391775387197680680e-01 2.784313725490196179e-01 3.374333333333333229e+01
1.429312581063553744e-01 2.823529411764705843e-01 3.441666666666666430e+01
