IntensityIn IntensityOut Luminance
0.000000000000000000e+00 0.000000000000000000e+00 2.236666666666666803e-01
1.525902189669642176e-05 3.921568627450980338e-03 2.446666666666666712e-01
9.155413138017853055e-05 7.843137254901960675e-03 2.696666666666666656e-01
1.983672846570534829e-04 1.176470588235294101e-02 2.933333333333332793e-01
2.899214160372320134e-04 1.568627450980392135e-02 3.176666666666667083e-01
3.967345693141069657e-04 1.960784313725490169e-02 3.633333333333332860e-01
5.798428320744640268e-04 2.352941176470588203e-02 4.003333333333333743e-01
7.324330510414282444e-04 2.745098039215686236e-02 4.403333333333332988e-01
9.002822919050889380e-04 3.137254901960784270e-02 4.959999999999999964e-01
1.129167620355535102e-03 3.529411764705882304e-02 5.540000000000001590e-01
1.373311970702677850e-03 3.921568627450980338e-02 6.176666666666666972e-01
1.632715342946517182e-03 4.313725490196078372e-02 6.979999999999999538e-01
1.968413824673838353e-03 4.705882352941176405e-02 7.626666666666666039e-01
2.227817196917677468e-03 5.098039215686274439e-02 8.960000000000000187e-01
2.777141985198748868e-03 5.490196078431372473e-02 9.870000000000000995e-01
3.158617532616159358e-03 5.882352941176470507e-02 1.084333333333333371e+00
3.555352101930266216e-03 6.274509803921568540e-02 1.196333333333333249e+00
4.013122758831158543e-03 6.666666666666666574e-02 1.316333333333333355e+00
4.516670481422140407e-03 7.058823529411764608e-02 1.468666666666666787e+00
5.142290379186694078e-03 7.450980392156862642e-02 1.581666666666666776e+00
5.600061036087586840e-03 7.843137254901960675e-02 1.751666666666666705e+00
6.301976043335622349e-03 8.235294117647058709e-02 1.907000000000000028e+00
6.942854962996871521e-03 8.627450980392156743e-02 2.084999999999999964e+00
7.675288014038299765e-03 9.019607843137254777e-02 2.212666666666666782e+00
8.209353780422675231e-03 9.411764705882352811e-02 2.419999999999999929e+00
9.063859006637675284e-03 9.803921568627450844e-02 2.607333333333333503e+00
9.826810101472495396e-03 1.019607843137254888e-01 2.892666666666666497e+00
1.101701380941481727e-02 1.058823529411764691e-01 3.044666666666666632e+00
1.164263370717937007e-02 1.098039215686274495e-01 3.329000000000000181e+00
1.280231937132829748e-02 1.137254901960784298e-01 3.499333333333333851e+00
1.350423437857633385e-02 1.176470588235294101e-01 3.756000000000000227e+00
1.457236591134508305e-02 1.215686274509803905e-01 4.012333333333333307e+00
1.562523842221713588e-02 1.254901960784313708e-01 4.247333333333333627e+00
1.660181582360570687e-02 1.294117647058823373e-01 4.559666666666667645e+00
1.788357366292820522e-02 1.333333333333333315e-01 4.775333333333333208e+00
1.876859693293659800e-02 1.372549019607843257e-01 5.166999999999999815e+00
2.038605325398641990e-02 1.411764705882352922e-01 5.333666666666665890e+00
2.107270923933775991e-02 1.450980392156862586e-01 5.722333333333334160e+00
2.267490653849088197e-02 1.490196078431372528e-01 5.950333333333333030e+00
2.362096589608606023e-02 1.529411764705882470e-01 6.379666666666666153e+00
2.539101243610284581e-02 1.568627450980392135e-01 6.653333333333333321e+00
2.652018005645838047e-02 1.607843137254901800e-01 7.024999999999999467e+00
2.804608224612802417e-02 1.647058823529411742e-01 7.385000000000000675e+00
2.952620737010757529e-02 1.686274509803921684e-01 7.754000000000000448e+00
3.105210955977721898e-02 1.725490196078431349e-01 8.037666666666668291e+00
3.222705424582283928e-02 1.764705882352941013e-01 8.508333333333332860e+00
3.416495002670328490e-02 1.803921568627450955e-01 8.894333333333333869e+00
3.575188830395971407e-02 1.843137254901960898e-01 9.228333333333333499e+00
3.712520027466239408e-02 1.882352941176470562e-01 9.641666666666667496e+00
3.883421072709239419e-02 1.921568627450980227e-01 1.010999999999999943e+01
4.075684748607614344e-02 1.960784313725490169e-01 1.062666666666666693e+01
4.289311055161364183e-02 2.000000000000000111e-01 1.097333333333333449e+01
4.432745860990310732e-02 2.039215686274509776e-01 1.141999999999999993e+01
4.615854123750667837e-02 2.078431372549019440e-01 1.185666666666666735e+01
4.795910582131685668e-02 2.117647058823529382e-01 1.239333333333333265e+01
5.017166399633783691e-02 2.156862745098039325e-01 1.292333333333333201e+01
5.235370412756542441e-02 2.196078431372548989e-01 1.334999999999999964e+01
5.412375066758220998e-02 2.235294117647058654e-01 1.417999999999999972e+01
5.754177157244220325e-02 2.274509803921568596e-01 1.441333333333333400e+01
5.850308995193408135e-02 2.313725490196078538e-01 1.506333333333333435e+01
6.118867780575264897e-02 2.352941176470588203e-01 1.554999999999999893e+01
6.318760967421988006e-02 2.392156862745097867e-01 1.614333333333333087e+01
6.562905317769131275e-02 2.431372549019607809e-01 1.703333333333333499e+01
6.930647745479515121e-02 2.470588235294117752e-01 1.727666666666666728e+01
7.031357289997711146e-02 2.509803921568627416e-01 1.842333333333333556e+01
7.502861066605630291e-02 2.549019607843137081e-01 1.871666666666666856e+01
7.624933241779202620e-02 2.588235294117646745e-01 1.918333333333333357e+01
7.817196917677576851e-02 2.627450980392156965e-01 1.988666666666666671e+01
8.107118333714809222e-02 2.666666666666666630e-01 2.030666666666666842e+01
8.279545281147478175e-02 2.705882352941176294e-01 2.126333333333333542e+01
8.674753948271915482e-02 2.745098039215686514e-01 2.151000000000000156e+01
8.775463492790111508e-02 2.784313725490196179e-01 2.243333333333333357e+01
9.156939040207522085e-02 2.823529411764705843e-01 2.270000000000000284e+01
9.266803997863737319e-02 2.862745098039215508e-01 2.333000000000000185e+01
9.526207370107575567e-02 2.901960784313725172e-01 2.401333333333333186e+01
9.808499275196459755e-02 2.941176470588235392e-01 2.457666666666666444e+01
1.004043640802624593e-01 2.980392156862745057e-01 2.526999999999999957e+01
1.032578011749446800e-01 3.019607843137254721e-01 2.578000000000000114e+01
1.053635461966887926e-01 3.058823529411764941e-01 2.673333333333333428e+01
1.092851148241397730e-01 3.098039215686274606e-01 2.735333333333333528e+01
1.118486305027847766e-01 3.137254901960784270e-01 2.782000000000000384e+01
1.137712672617685189e-01 3.176470588235293935e-01 2.867666666666666586e+01
1.172961013199053937e-01 3.215686274509803599e-01 2.903000000000000114e+01
1.187609674219882450e-01 3.254901960784313819e-01 3.000333333333333385e+01
1.227740901808194035e-01 3.294117647058823484e-01 3.062000000000000099e+01
1.253070878156710144e-01 3.333333333333333148e-01 3.108666666666666245e+01
1.272449835965514531e-01 3.372549019607843368e-01 3.236333333333333684e+01
1.324940871290150313e-01 3.411764705882353033e-01 3.253333333333333144e+01
1.331960021362630642e-01 3.450980392156862697e-01 3.360333333333333172e+01
1.376058594644083422e-01 3.490196078431372362e-01 3.433333333333333570e+01
1.406271457999542229e-01 3.529411764705882026e-01 3.491666666666666430e+01
1.430228122377355526e-01 3.568627450980392246e-01 3.596000000000000085e+01
1.473258564126039560e-01 3.607843137254901911e-01 3.632000000000000028e+01
1.488059815365835037e-01 3.647058823529411575e-01 3.701666666666666572e+01
1.516899366750591172e-01 3.686274509803921795e-01 3.816666666666666430e+01
1.564202334630350189e-01 3.725490196078431460e-01 3.897333333333333627e+01
1.597467002365148270e-01 3.764705882352941124e-01 3.988666666666667027e+01
1.635156786449988575e-01 3.803921568627450789e-01 4.081666666666666998e+01
1.673456931410696458e-01 3.843137254901960453e-01 4.146999999999999886e+01
1.700465400167849306e-01 3.882352941176470673e-01 4.188666666666666316e+01
1.717555504692149237e-01 3.921568627450980338e-01 4.271666666666666856e+01
1.751888303959716064e-01 3.960784313725490002e-01 4.343999999999999773e+01
1.781643396658274259e-01 4.000000000000000222e-01 4.426666666666667282e+01
1.815671015487907158e-01 4.039215686274509887e-01 4.551666666666667282e+01
1.867246509498741158e-01 4.078431372549019551e-01 4.617666666666666941e+01
1.894407568474860692e-01 4.117647058823529216e-01 4.703999999999999915e+01
1.930113679713130470e-01 4.156862745098038880e-01 4.792666666666666941e+01
1.966582742046234789e-01 4.196078431372549100e-01 4.883333333333333570e+01
2.003967345693141167e-01 4.235294117647058765e-01 5.000000000000000000e+01
2.052033264667734724e-01 4.274509803921568429e-01 5.054333333333332945e+01
2.074464026855878662e-01 4.313725490196078649e-01 5.160333333333333172e+01
2.118104829480430273e-01 4.352941176470588314e-01 5.243666666666666742e+01
2.152437628747997378e-01 4.392156862745097978e-01 5.358000000000000540e+01
2.199588006408789154e-01 4.431372549019607643e-01 5.491999999999999460e+01
2.254825665674830282e-01 4.470588235294117307e-01 5.564666666666666828e+01
2.284885938811322126e-01 4.509803921568627527e-01 5.620333333333334025e+01
2.307774471656366955e-01 4.549019607843137192e-01 5.778666666666666174e+01
2.373083085374227408e-01 4.588235294117646856e-01 5.801333333333334252e+01
2.382391088731212192e-01 4.627450980392157076e-01 5.951333333333332831e+01
2.444190127412832758e-01 4.666666666666666741e-01 6.064333333333333798e+01
2.490882734416723920e-01 4.705882352941176405e-01 6.133333333333333570e+01
2.519264515144579164e-01 4.745098039215686070e-01 6.225000000000000000e+01
2.557106889448386156e-01 4.784313725490195734e-01 6.329999999999999005e+01
2.600289921416037431e-01 4.823529411764705954e-01 6.463333333333333997e+01
2.655374990463111318e-01 4.862745098039215619e-01 6.524333333333332519e+01
2.680399786373693360e-01 4.901960784313725283e-01 6.610999999999999943e+01
2.716258487830929824e-01 4.941176470588235503e-01 6.717666666666667652e+01
2.760204470893415918e-01 4.980392156862745168e-01 6.829666666666668107e+01
2.806286717021438948e-01 5.019607843137254832e-01 6.960999999999999943e+01
2.860456244754711053e-01 5.058823529411764497e-01 7.050666666666666060e+01
2.897383077744716817e-01 5.098039215686274161e-01 7.176333333333333542e+01
2.949263752193484467e-01 5.137254901960783826e-01 7.348333333333333428e+01
3.020218204013122576e-01 5.176470588235293491e-01 7.386333333333332973e+01
3.035782406347752871e-01 5.215686274509804266e-01 7.486333333333332973e+01
3.076981765468833618e-01 5.254901960784313930e-01 7.607999999999999829e+01
3.127183947508964668e-01 5.294117647058823595e-01 7.724000000000000909e+01
3.174944686045624298e-01 5.333333333333333259e-01 7.810999999999999943e+01
3.210803387502861317e-01 5.372549019607842924e-01 7.941333333333334110e+01
3.264667734798199494e-01 5.411764705882352589e-01 8.112666666666666515e+01
3.335164415960936712e-01 5.450980392156862253e-01 8.156999999999999318e+01
3.353475242236972353e-01 5.490196078431373028e-01 8.253000000000001535e+01
3.393148699168383464e-01 5.529411764705882693e-01 8.349666666666666970e+01
3.432974746318760983e-01 5.568627450980392357e-01 8.461333333333332973e+01
3.478904402227817050e-01 5.607843137254902022e-01 8.626666666666666572e+01
3.547112230106050368e-01 5.647058823529411686e-01 8.715666666666668050e+01
3.583886472877088614e-01 5.686274509803921351e-01 8.835666666666666913e+01
3.633325703822384845e-01 5.725490196078431016e-01 9.012666666666666515e+01
3.706263828488594037e-01 5.764705882352940680e-01 9.057000000000000739e+01
3.724574654764629678e-01 5.803921568627450345e-01 9.179999999999999716e+01
3.775234607461661618e-01 5.843137254901961120e-01 9.283666666666665890e+01
3.817959868772411447e-01 5.882352941176470784e-01 9.457666666666666799e+01
3.889677271686884930e-01 5.921568627450980449e-01 9.539000000000000057e+01
3.923247119859616938e-01 5.960784313725490113e-01 9.668666666666666742e+01
3.976653696498054225e-01 5.999999999999999778e-01 9.791666666666667140e+01
4.027313649195086720e-01 6.039215686274509443e-01 9.900333333333333030e+01
4.072175173571374041e-01 6.078431372549019107e-01 1.002000000000000028e+02
4.121461814297703308e-01 6.117647058823529882e-01 1.020000000000000000e+02
4.195773250934615173e-01 6.156862745098039547e-01 1.029666666666666544e+02
4.235599298084992692e-01 6.196078431372549211e-01 1.046333333333333258e+02
4.304264896620126901e-01 6.235294117647058876e-01 1.050000000000000000e+02
4.319371328297856305e-01 6.274509803921568540e-01 1.064000000000000199e+02
4.377050431067368574e-01 6.313725490196078205e-01 1.080333333333333456e+02
4.444495307850766519e-01 6.352941176470587870e-01 1.087000000000000028e+02
4.471961547264820536e-01 6.392156862745097534e-01 1.102666666666666657e+02
4.536507209887846170e-01 6.431372549019607199e-01 1.115999999999999801e+02
4.591439688715953094e-01 6.470588235294117974e-01 1.127666666666666657e+02
4.639505607690547206e-01 6.509803921568627638e-01 1.137000000000000028e+02
4.678110933089189016e-01 6.549019607843137303e-01 1.151333333333333258e+02
4.737163347829403959e-01 6.588235294117646967e-01 1.164666666666666544e+02
4.792095826657511437e-01 6.627450980392156632e-01 1.177333333333333343e+02
4.844281681544213014e-01 6.666666666666666297e-01 1.199000000000000199e+02
4.933699549858854283e-01 6.705882352941175961e-01 1.209333333333333371e+02
4.976272220950637148e-01 6.745098039215686736e-01 1.217666666666666657e+02
5.010605020218203975e-01 6.784313725490196401e-01 1.232999999999999972e+02
5.073777370870526937e-01 6.823529411764706065e-01 1.245000000000000000e+02
5.123216601815823168e-01 6.862745098039215730e-01 1.259666666666666544e+02
5.183794918745708857e-01 6.901960784313725394e-01 1.267999999999999972e+02
5.218127718013275684e-01 6.941176470588235059e-01 1.286999999999999886e+02
5.296406500343328050e-01 6.980392156862744724e-01 1.296999999999999886e+02
5.337605859464408242e-01 7.019607843137254388e-01 1.311999999999999886e+02
5.399404898146028531e-01 7.058823529411764053e-01 1.325000000000000000e+02
5.453116655222399745e-01 7.098039215686274828e-01 1.345666666666666629e+02
